训练 8 篇 / 验证 2 篇

=== stateful　参数 637.8K ===
  ep37 train loss 0.6801 acc 0.0055 | val 头内Δacc +0.0057 **全局Δacc -0.0020** | alpha 0.0552
  ep38 train loss 0.6787 acc 0.0054 | val 头内Δacc +0.0055 **全局Δacc -0.0020** | alpha 0.0554
  ep39 train loss 0.6790 acc 0.0052 | val 头内Δacc +0.0053 **全局Δacc -0.0020** | alpha 0.0555

==============================================================================
验证集成对排序准确率（最后一个 epoch）—— **这是本实验的判据**
  stateful    头内 +0.0018   全局 -0.0014
  memoryless  头内 +0.0027   全局 -0.0014
  shuffled    头内 +0.0053   全局 -0.0020

  stateful − shuffled = +0.0007
  >0 且稳定 ⇒ 历史改变了效用的**条件均值**：E[U|X,M] ≠ E[U|X]
  ≈0        ⇒ 只是学了个更好的普通 scorer，B 的核心命题不成立
  注：判据是条件均值改变，**不是** I(U;M|X)>0 —— 互信息为正也可能只体现在
      条件方差或更高阶矩上，此时平方风险毫无改善。此处曾把两者写成等价，是数学错误。
  又：单次训练不是一次测量（v1 的 +21.60 就是这么来的），至少 3 个种子看跨度。
==============================================================================
